,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,geoid,c_area,c_perim,perim (g) 0.5,w_perim (g) 0.5,pro_perim (g) 0.5,pro_w_perim (g) 0.5,area (g) 0.5,w_area (g) 0.5,pro_area (g) 0.5,pro_w_area (g) 0.5,perim (g) 0.1,w_perim (g) 0.1,pro_perim (g) 0.1,pro_w_perim (g) 0.1,area (g) 0.1,w_area (g) 0.1,pro_area (g) 0.1,pro_w_area (g) 0.1,c_a/p^2,rank_c_a/p^2,a/p^2 (g) 0.5,pro_a/p^2 (g) 0.5,w_a/p^2 (g) 0.5,pro_w_a/p^2 (g) 0.5,rank_a/p^2 (g) 0.5,rank_pro_a/p^2 (g) 0.5,rank_w_a/p^2 (g) 0.5,rank_pro_w_a/p^2 (g) 0.5,a/p^2 (g) 0.1,pro_a/p^2 (g) 0.1,w_a/p^2 (g) 0.1,pro_w_a/p^2 (g) 0.1,rank_a/p^2 (g) 0.1,rank_pro_a/p^2 (g) 0.1,rank_w_a/p^2 (g) 0.1,rank_pro_w_a/p^2 (g) 0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0103,20000.054677218297,979.6261430547148,97,144851,94.81352261175819,141415.08578683215,467,684416,464.81352261175795,680980.0857868319,100,150441,95.45497549571829,142365.09395558745,470,690006,465.4549754957181,681930.0939555871,0.2618908432007458,219.0,0.049633329790626,0.0517056723510575,3.261948936743321e-05,3.405202387282442e-05,280.0,288.0,264.0,282.0,0.047,0.051083487141021226,3.0487403877608838e-05,3.3645951796000156e-05,230.0,277.0,225.0,262.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0101,16111.99911382444,1256.5419810554276,73,105105,66.68941833007257,96677.34679417836,432,675726,425.68941833007256,667298.3467941782,79,114444,68.59331889707657,99848.68043229307,438,685065,427.5933188970765,670469.6804322929,0.1282346194886317,380.0,0.08106586601613812,0.09571477786423276,6.116794308194745e-05,7.139546106874372e-05,168.0,165.0,140.0,137.0,0.07018106072744752,0.0908797821378213,5.230530303974001e-05,6.725033990325929e-05,135.0,158.0,110.0,130.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0104,23589.274909777334,1194.7921365263535,104,145631,102.58022607244465,143173.2894530512,545,683524,543.5802260724446,681066.2894530513,111,153536,103.79914743456871,144521.11499505868,552,691429,544.7991474345687,682414.1149950586,0.207653733747834,283.0,0.05038831360946745,0.05165785230103894,3.222894615145383e-05,3.3225029743387645e-05,279.0,289.0,269.0,289.0,0.04480155831507183,0.05056486434596987,2.9331018708664562e-05,3.2672727760056816e-05,239.0,279.0,235.0,269.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0107,26610.75884082622,1456.1564075766644,150,194207,139.26915121175858,180224.4578309836,608,679361,597.2691512117588,665378.4578309836,187,252392,148.79736560350548,195330.4107151973,645,737546,606.7973656035055,680484.4107151972,0.15770703690930346,343.0,0.027022222222222225,0.03079358316079488,1.8012369717868787e-05,2.0485250579895888e-05,392.0,390.0,378.0,382.0,0.0184449083473934,0.02740647636251389,1.1578117211497793e-05,1.7835219304966153e-05,389.0,392.0,389.0,386.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0102,26558.002121147958,1140.2016087666275,101,124794,98.17822739754659,121303.84720359472,519,680704,516.1782273975465,677213.847203595,116,141944,102.2029460434963,125919.33016244422,534,697854,520.2029460434964,681829.3301624446,0.25670951512061396,228.0,0.050877364964219185,0.053551212501876805,4.3709002161671054e-05,4.6023186000856627e-05,277.0,283.0,205.0,217.0,0.03968489892984542,0.049801907576592384,3.463622028507374e-05,4.3002219311912746e-05,266.0,282.0,198.0,213.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0106,10965.666754493588,911.5247920282947,119,175130,111.44626626745844,162276.64376341266,436,687405,428.4462662674585,674551.6437634126,136,200057,115.87611256964183,169244.47381245033,453,712332,432.8761125696418,681519.4738124503,0.1658471210813776,335.0,0.03078878610267637,0.03449572812246154,2.2412566512695453e-05,2.561551967165275e-05,373.0,375.0,342.0,342.0,0.024491782006920416,0.032238571272276265,1.7798153606789104e-05,2.379300391198862e-05,352.0,371.0,329.0,336.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0105,9981.289713559629,643.711995982385,57,83288,56.08722536466694,82383.08118890613,426,683019,425.0872253646669,682114.081188906,57,83288,56.08722536466694,82383.08118890613,426,683019,425.0872253646669,682114.081188906,0.3027006268799878,165.0,0.13111726685133887,0.13512949130048618,9.846183333626876e-05,0.00010050344609316188,88.0,108.0,69.0,92.0,0.13111726685133887,0.13512949130048618,9.846183333626876e-05,0.00010050344609316188,53.0,88.0,44.0,72.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0200,1530568.3683448422,29398.810394415465,125,148269,103.58721760848402,121120.21674530824,504,670156,482.58721760848397,643007.2167453083,154,187047,112.12011914451614,132493.83059755305,533,708934,491.1201191445162,654380.8305975532,0.02225374376255452,435.0,0.032256,0.04497420329115027,3.048422744724972e-05,4.3831120041198655e-05,367.0,328.0,285.0,229.0,0.02247427896778546,0.039067950118716686,2.0263026445140608e-05,3.7276854271069676e-05,365.0,336.0,295.0,242.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0406,1628.1857021966346,233.78718793112742,42,65210,39.75188608252593,61413.51179169895,510,708765,507.7518860825258,704968.5117916988,53,80275,42.67288879955338,65156.213640166876,521,723830,510.6728887995532,708711.2136401667,0.3743453013693233,99.0,0.2891156462585034,0.3213187486331527,0.00016667630448815278,0.00018691400995396272,22.0,21.0,30.0,32.0,0.1854752580989676,0.28043919648937105,0.00011232487669633764,0.00016693893063528552,28.0,22.0,34.0,32.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0403,40637.13120014013,1369.9890838047465,90,159159,84.1163334763108,149543.63448914743,422,700829,416.1163334763108,691213.6344891475,108,188205,89.00915569864904,157446.7642427709,440,729875,421.009155698649,699116.764242771,0.2720812986235537,204.0,0.05209876543209877,0.05881039481268228,2.7666209473010717e-05,3.0908393540284713e-05,272.0,266.0,300.0,304.0,0.03772290809327846,0.05314007677034546,2.0605643138149565e-05,2.820215121682517e-05,276.0,270.0,292.0,299.0
