geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
5101,10203.61069448746,959.8051317331659,152,232465,136.57309316591076,211991.65327985666,417,704996,401.57309316591073,684522.6532798564,185,296684,146.38835632882058,230830.30707824105,450,769215,411.3883563288206,703361.3070782408
5106,15509.155581040393,908.2931061726894,88,141862,83.76197717473909,134537.80428705836,501,728057,496.7619771747392,720732.8042870584,103,168258,86.60599436820782,139408.5976163843,516,754453,499.6059943682079,725603.5976163842
5111,427.26544394765534,183.2433863178774,108,209372,93.67351241482652,183658.4617552095,352,604549,337.6735124148264,578835.4617552095,146,270895,105.09365374508207,202306.0710230232,390,666072,349.09365374508184,597483.0710230233
5102,3474.4777025053204,604.5476915122961,126,168736,110.67480244083383,148005.0761161192,488,672659,472.45504372238867,651423.0705811314,162,234142,120.44230650777617,165786.63215202838,524,738065,482.222547789331,669204.6266170405
5110,3615.1085502285428,486.0240645588192,109,179103,98.54310849183373,161197.04069180167,480,826168,469.54310849183395,808262.0406918017,147,238932,108.85065473737029,177859.73575896822,518,885997,479.85065473737063,824924.7357589684
5105,26351.377623785025,1245.1019896285225,113,178239,108.86806258933969,170088.24487670063,513,730839,508.86806258933956,722688.2448767008,123,199497,111.05177541440891,174450.5420438124,523,752097,511.05177541440884,727050.5420438126
5103,2672.786579314868,477.66773567914,123,185286,107.37678663550811,160761.6160028458,547,730920,531.3767866355083,706395.6160028462,191,283619,124.56054046298772,185338.54089594365,615,829253,548.5605404629878,730972.540895944
5108,423.75812036305723,100.28144416641575,53,76091,44.34226321369549,62649.08718983742,535,743388,526.3422632136956,729946.0871898377,74,110842,50.480320141246644,72844.98424420206,556,778139,532.4803201412466,740141.9842442021
5109,23715.966938687758,1144.040481422213,110,137921,106.70054283344568,133196.1402097047,576,723782,572.7005428334455,719057.1402097045,120,153253,109.10542982004425,136747.47229245323,586,739114,575.1054298200442,722608.4722924529
5104,11469.28933329616,715.6533571460328,101,164642,90.76410767170928,147230.0717643933,483,776146,472.76410767170927,758734.0717643928,137,231148,99.50092009012175,163119.5509324015,519,842652,481.50092009012167,774623.5509324004
5107,7235.613618138789,686.0455293306303,87,159344,78.68786682303873,144479.17270586645,393,708877,384.68786682303886,694012.1727058666,103,190125,83.97371895347551,154580.02458673107,409,739658,389.97371895347567,704113.0245867312
