geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
2611,1141.5382281341174,301.38292132820635,95,352149,94.43739944277775,349889.2628826024,191,703426,190.43739944277777,701166.2628826026,97,358471,95.09960089501449,351995.2154771546,193,709748,191.0996008950145,703272.2154771548
2601,67499.82074773882,3719.0943413440027,109,341242,97.19038448943422,304651.91234713176,214,680708,202.19038448943417,644117.9123471318,124,376692,102.08275621193323,316064.01829930296,229,716158,207.0827562119332,655530.0182993029
2610,10924.7282367908,601.9938395022938,72,277812,63.6251562822126,251902.32850539061,172,697901,163.62515628221257,671991.3285053907,79,306928,65.77237191479745,261552.7841677758,179,727017,165.77237191479742,681641.7841677757
2603,6986.331529592855,593.1511275867025,69,318541,67.56778458656001,310291.6208761905,162,713785,160.56778458656,705535.6208761907,72,334506,68.00405127492812,312538.05616812065,165,729750,161.0040512749281,707782.0561681208
2612,1095.311879008231,250.4303870045281,58,235873,57.264430568999224,232671.9833040105,197,707385,196.26443056899922,704183.9833040108,60,240434,57.71082971320677,233357.27606412375,199,711946,196.71082971320675,704869.2760641241
2606,9447.770006808678,465.5229254503176,44,180907,41.669597918621356,172395.23070255155,171,706878,168.66959791862132,698366.2307025513,45,182427,41.947574866509804,172817.755663342,172,708398,168.94757486650977,698788.7556633417
2614,500.74629145010755,246.63918253330627,122,363232,117.62488827232818,353859.6413278717,238,704614,233.62488827232812,695241.6413278718,129,382484,119.25585017506972,357774.3597186195,245,723866,235.25585017506967,699156.3597186197
2609,480.1194256051768,184.23774291143414,83,303956,78.87784844433884,290688.08042816387,206,703753,201.87784844433884,690485.0804281641,87,313238,80.31956542873552,294426.1708597392,210,713035,203.31956542873553,694223.1708597397
2608,3995.5948176863776,369.1820721338952,71,249871,70.31984978555428,247710.83076739818,209,709158,208.31984978555417,706997.8307673982,71,249871,70.31984978555428,247710.83076739818,209,709158,208.31984978555417,706997.8307673982
2602,8850.390105980254,560.6220396268175,61,265686,56.2486976067518,248476.97399567568,152,694662,147.2486976067518,677452.9739956754,68,302044,58.76187341152209,259986.34248624629,159,731020,149.7618734115221,688962.3424862459
2607,11186.35627471185,698.4797034971688,70,296023,69.41276999827988,294796.2017288617,175,706980,174.41276999827994,705753.2017288618,70,296023,69.41276999827988,294796.2017288617,175,706980,174.41276999827994,705753.2017288618
2605,6224.1243263553115,688.3394536955382,64,246768,61.737403542366735,238601.78562971303,209,694470,206.73740354236674,686303.7856297131,70,274747,63.712851568645135,247998.37788175506,215,722449,208.71285156864514,695700.3778817551
2604,22428.996016890917,849.9998922512807,63,264200,62.3166591526612,260405.92992662423,180,701902,179.31665915266112,698107.9299266244,65,274859,62.84263962986778,263232.4385970582,182,712561,179.8426396298677,700934.4385970583
2613,484.56697455694444,181.52225233821594,101,287665,99.78432453720654,285618.4694013265,269,701729,267.78432453720654,699682.4694013267,110,304445,102.45229570344091,291133.1596920238,278,718509,270.4522957034409,705197.1596920241
