geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
5301,16309.055283696523,972.8927762609076,95,150531,87.50449872314212,138179.28387191557,452,666879,444.50449872314243,654527.2838719155,134,226991,99.29682056654538,161746.2926460781,491,743339,456.2968205665456,678094.2926460782
5304,50684.08877890018,1626.027549178849,47,58196,45.50682127968218,55904.8528489332,462,674619,460.5068212796822,672327.8528489332,49,61785,45.99133736051147,56845.84265673738,464,678208,460.9913373605115,673268.8426567372
5307,407.5768050413191,227.72481796657564,90,110022,74.9226064053246,92159.42356454692,529,661243,513.9226064053246,643380.4235645472,110,133145,81.63130093677451,100025.06910345344,549,684366,520.6313009367743,651246.0691034538
5302,2754.901568779983,1288.5941865890052,163,246742,134.06982042788167,201679.23557211715,442,658045,413.0698204278816,612982.2355721176,187,279661,141.54172657148996,211016.66175516404,466,690964,420.5417265714898,622319.6617551645
5306,18318.795918669897,1407.1052739633496,140,188403,120.94780093843637,161742.2157189221,483,635505,463.94780093843644,608844.2157189221,172,232443,132.32785054997484,176934.18160996874,515,679545,475.32785054997504,624036.1816099687
5303,24054.51790103068,1124.1619720865588,68,78558,64.69313228098463,74351.73210261793,492,671585,488.69313228098474,667378.7321026175,72,84128,66.15627277200628,76367.96804003256,496,677155,490.1562727720064,669394.9680400322
5308,19427.513147567992,1119.1079728748266,109,162852,101.35365282400863,151626.26223449537,449,665739,441.3536528240087,654513.2622344953,135,202706,110.53031853600594,165929.47609332364,475,705593,450.5303185360059,668816.4760933236
5310,2259.3288755877775,405.1755822373848,97,151356,91.31846079006903,142372.25218970698,436,663308,430.3184607900691,654324.2521897069,120,182202,97.1435949494877,150049.9882737279,459,694154,436.1435949494878,662001.9882737279
5305,40645.71307755726,1122.497882083043,48,56417,47.69240030210703,56092.27575764409,489,672476,488.692400302107,672151.2757576441,48,56417,47.69240030210703,56092.27575764409,489,672476,488.692400302107,672151.2757576441
5309,527.2935455262328,206.72934207768827,98,145967,87.6544424688317,132070.87489865,473,666911,462.6544424688317,653014.8748986499,128,185374,96.05073012722693,143396.78797056607,503,706318,471.0507301272269,664340.7879705658
