geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
3406,584.5910449911361,253.44540448560332,74,340012,66.46591585508585,305483.7376753448,156,701733,148.46591585508585,667204.7376753449,88,400576,70.6143920994079,323500.3274310139,170,762297,152.6143920994079,685221.3274310139
3410,204.38676296454588,113.36050142729331,62,259982,52.03061843004738,218480.95347899594,198,731259,188.03061843004727,689757.953478996,85,358518,57.459375939434814,241928.19049657736,221,829795,193.4593759394347,713205.1904965774
3411,1376.300370747181,243.23631465478545,64,319522,61.814997192616985,310010.50452417193,153,730228,150.81499719261697,720716.504524172,71,359636,63.30662862285217,318293.75729675026,160,770342,152.30662862285214,728999.7572967504
3403,2533.7047366452593,313.35807784418665,57,241461,54.62369458873689,234654.9859154311,175,725324,172.62369458873692,718517.9859154309,67,279267,56.80533833106965,242506.3741747991,185,763130,174.8053383310697,726369.3741747988
3409,267.1593097514023,118.98887009338625,54,285714,51.40020815386063,271104.6956538237,152,732813,149.40020815386063,718203.6956538238,62,332300,52.90369201091899,280749.63918803044,160,779399,150.90369201091897,727848.6391880305
3408,169.42748688475547,125.05527878027056,55,221822,51.09312173589155,205732.22151254883,183,737053,179.09312173589151,720963.2215125487,83,322739,59.15658749944466,233643.10861953796,211,837970,187.15658749944467,748874.108619538
3404,1832.4208939591065,283.16193455329244,67,342230,62.74177301531342,322988.3499763368,150,735340,145.7417730153134,716098.3499763368,76,369347,64.71727252026848,328548.891496084,159,762457,147.71727252026847,721658.8914960839
3412,1092.0311413093095,256.83694609931297,61,308443,58.96721770507168,299568.7438475479,151,724713,148.96721770507168,715838.7438475479,73,366402,61.427646990945014,312086.5135088729,163,782672,151.427646990945,728356.5135088728
3402,5916.428235607899,487.83733627371373,85,280631,74.74359347906689,254001.89396960704,191,727219,180.74359347906685,700589.8939696067,90,299053,76.75658916535193,260399.65771317485,196,745641,182.7565891653519,706987.6577131745
3405,2646.6924017708147,369.78681887071826,60,300451,58.050019379142256,288094.03737396124,151,729057,149.05001937914224,716700.0373739613,66,335990,59.109726988877235,294614.8363624884,157,764596,150.10972698887724,723220.8363624885
3407,2554.208233226088,351.0373816724204,73,374652,70.2770317701798,360090.6361648872,148,728866,145.27703177017986,714304.6361648875,88,443639,73.27930555161944,373843.9661787337,163,797853,148.2793055516195,728057.9661787337
3401,958.0386333033608,198.06213778241982,46,205074,44.80313385874736,199771.33630113257,178,734466,176.8031338587474,729163.3363011327,49,214562,45.342174727955666,201565.95445606642,181,743954,177.34217472795572,730957.9544560665
