geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
0650,7257.432376431482,637.5098206746077,45,258138,41.6045369330209,239792.07882785428,130,679140,126.6045369330209,660794.0788278541,57,319581,45.37729553065098,260381.97408828637,142,740583,130.37729553065097,681383.9740882862
0617,501.6566043649425,159.15445325508477,46,229109,43.70851368558099,216506.59351584667,141,705889,138.708513685581,693286.5935158465,48,237129,44.2889489047285,220055.21529941208,143,713909,139.28894890472853,696835.215299412
0630,357.0199685481216,151.86493633477912,58,220018,54.47627316728804,206165.19432701022,175,705503,171.476273167288,691650.1943270103,67,260440,56.543575360062434,215456.2267499619,184,745925,173.54357536006245,700941.2267499618
0619,2386.4991599887526,370.475339732715,34,154070,31.828748893720356,144614.31376489505,148,698400,145.82874889372033,688944.3137648951,39,181258,33.84398883589922,155291.85238010946,153,725588,147.84398883589918,699621.8523801095
0642,2466.8883869663214,524.7460527385499,47,265712,41.829520062053746,238969.28631462366,133,737217,127.82952006205376,710474.2863146237,61,357497,46.01602997979015,268165.18596120365,147,829002,132.0160299797902,739670.1859612035
0648,659.6244170130581,177.86365366698448,44,232662,40.152113503835615,211138.97595524412,157,729588,153.15211350383558,708064.9759552442,49,256820,41.21796351380911,216322.79267319784,162,753746,154.21796351380908,713248.7926731977
0632,326.8913221303185,181.3159905210298,50,221081,46.626380967895095,206259.40210941964,153,705132,149.62638096789507,690310.4021094197,57,253797,48.78633296922447,216235.50598825997,160,737848,151.78633296922445,700286.50598826
0634,124.17379798026099,76.18031612964138,53,177721,52.28872558506593,175031.57379119273,200,699931,199.28872558506595,697241.5737911927,57,191498,53.65539108962806,179928.23472346005,204,713708,200.65539108962807,702138.23472346
0637,143.42489719337956,74.20185888444568,61,238083,58.6092159781669,230028.63421978636,179,707267,176.6092159781669,699212.6342197864,64,251557,59.55843338997438,234128.1037628465,182,720741,177.5584333899744,703312.1037628464
0625,4407.612913442642,500.0610370745273,44,182558,42.38976903487894,174105.29027871368,157,689199,155.38976903487895,680746.2902787136,53,220599,44.49575355232568,183256.67351766373,166,727240,157.49575355232568,689897.6735176636
0601,74674.57480254008,1791.1563775716002,37,141229,36.82148455722909,140542.40083081686,172,701726,171.82148455722907,701039.4008308171,41,157772,38.054128992155945,145875.19143080447,176,718269,173.05412899215594,706372.1914308046
0623,25729.399916835548,1279.8834213163768,59,326281,57.80772650846163,318947.1499864216,130,695904,128.80772650846163,688570.1499864215,69,373975,60.85764083399774,332697.26078858,140,743598,131.85764083399772,702320.2607885798
0605,4798.295709847172,603.0771317809034,34,165444,30.088785265146324,145456.49896816132,164,710543,160.08878526514636,690555.4989681614,39,197369,31.34246490830992,152515.43587121632,169,742468,161.34246490830995,697614.4358712165
0604,34136.834372070814,1211.8861402466705,53,225518,52.181551159860234,221368.8580375312,169,707397,168.18155115986025,703247.8580375313,54,229072,52.33682982194959,221920.71840259677,170,710951,168.3368298219496,703799.7184025968
0653,357.31481482315036,169.79281690830092,70,331009,65.49864168559557,307764.1511052204,151,712199,146.49864168559557,688954.1511052201,77,380536,67.20739583886699,318597.07995041634,158,761726,148.20739583886697,699787.079950416
0652,987.5798699977827,322.45936154562196,38,165683,35.81913384359968,156215.05443624602,152,676330,149.81913384359964,666862.0544362459,54,258189,40.62521924774586,185500.11981770373,168,768836,154.62521924774583,696147.1198177037
0607,1434.3312518372388,200.33946840149764,52,246535,49.66997173185375,236047.59499883495,156,698853,153.66997173185374,688365.5949988349,58,281511,50.98185022082271,244235.63954497466,162,733829,154.9818502208227,696553.6395449745
0612,312.3510374356909,105.0115211622982,23,93866,21.992982343789546,89086.51195352968,174,696776,172.99298234378955,691996.5119535297,29,129170,23.589721048332436,98028.38740784189,180,732080,174.58972104833245,700938.387407842
0621,17481.331399737708,1068.237128230334,54,312525,52.26388170527426,303687.6731708725,119,695451,117.26388170527422,686613.6731708727,59,338247,53.55661081168033,310720.6169029818,124,721173,118.55661081168027,693646.6169029821
0638,266.45150396300613,133.35659300415168,54,254305,51.848157735270426,244449.38436051374,153,700196,150.84815773527043,690340.3843605136,65,309588,54.90085784740819,259847.87458716627,164,755479,153.9008578474082,705738.8745871662
0606,464.48081932056556,170.65117169243086,47,239307,44.93572362251808,230451.07146943716,151,687216,148.93572362251808,678360.0714694371,56,280176,47.500721232033705,241086.0802272631,160,728085,151.50072123203373,688995.080227263
