geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
1309,13919.731898658267,765.6660978630291,87,145366,86.44005071908312,144287.07364871228,397,689413,396.4400507190831,688334.0736487122,93,156805,87.7676242963823,147073.73906094886,403,700852,397.7676242963822,691120.739060949
1313,1876.6225280513208,380.5855238615226,98,265252,94.36897800621584,256288.32689304583,293,692810,289.36897800621585,683846.3268930458,112,293545,98.42582099970171,264895.88976072666,307,721103,293.4258209997018,692453.8897607267
1302,25399.639013059317,1019.0026806748989,113,161416,109.42641188425259,156315.19781931967,523,695104,519.4264118842526,690003.1978193198,119,169943,111.29162907050743,159134.91254257478,529,703631,521.2916290705075,692822.9125425748
1308,22943.913181638087,1353.2742277190273,107,195448,105.49146219009535,192206.5006412613,460,693364,458.4914621900955,690122.5006412612,112,200397,107.12280919516384,193686.32110397404,465,698313,460.122809195164,691602.3211039739
1305,691.6772611149938,153.7114169847313,73,142401,70.66354468485878,137691.72971201502,479,687319,476.66354468485883,682609.729712015,87,168161,74.40594984090662,145636.73582048772,493,713079,480.40594984090666,690554.7358204878
1307,1043.691535042673,222.86606911234122,79,199502,77.74371436007246,194188.65963140002,299,692977,297.74371436007243,687663.6596314001,88,229622,80.35116915887176,201510.73829944275,308,723097,300.35116915887176,694985.7382994429
1310,18846.955905239403,928.6537687022001,89,222221,86.67730577197376,214313.67254276053,389,687872,386.67730577197375,679964.6725427606,102,269130,89.87002202502494,227010.5405345069,402,734781,389.8700220250249,692661.5405345071
1304,1310.572141083835,246.88322823754393,85,184201,79.85513544900617,173565.76231527267,334,694099,328.8551354490062,683463.7623152728,95,209037,82.1610443931242,179202.71014682384,344,718935,331.1610443931242,689100.710146824
1306,788.5881762457014,190.3136298668239,92,197682,90.1694723834119,194012.05104608985,357,692572,355.1694723834119,688902.0510460899,97,208116,91.36834809912,196395.03852275034,362,703006,356.36834809912,691285.0385227504
1301,23116.999007887844,1147.960569882703,64,103080,62.33093437880644,100184.02529597098,468,693404,466.3309343788064,690508.025295971,66,107456,62.945977212829845,101673.18043238229,470,697780,466.9459772128298,691997.1804323823
1312,21568.12197862529,1221.505438904128,87,136950,86.49250413577295,135760.63565908148,461,689095,460.492504135773,687905.6356590816,91,147217,87.77063562408325,138912.85037084014,465,699362,461.7706356240833,691057.8503708402
1314,9435.57366480064,619.7198176566366,82,166051,81.36109019397198,164727.78127820292,393,694135,392.36109019397196,692811.7812782028,82,166051,81.36109019397198,164727.78127820292,393,694135,392.36109019397196,692811.7812782028
1303,10154.362337089378,676.5546885608728,95,220342,90.4716616983881,209274.97455074545,353,694789,348.471661698388,683721.9745507454,108,245201,93.69272037370445,215082.5645334929,366,719648,351.69272037370433,689529.5645334928
1311,2844.7081944314577,358.14580558348575,95,187054,92.08973847579206,181176.26389887425,327,690700,324.0897384757921,684822.2638988742,104,205672,95.19804481956606,187381.4512774786,336,709318,327.1980448195661,691027.4512774784
