BLOCKID,CD113
050014801001000,01
050014801001001,01
050014801001002,01
050014801001003,01
050014801001004,01
050014801001005,01
050014801001006,01
050014801001007,01
050014801001008,01
050014801001009,01
050014801001010,01
050014801001011,01
050014801001012,01
050014801001013,01
050014801001014,01
050014801001015,01
050014801001016,01
050014801001017,01
050014801001018,01
050014801001019,01
050014801001020,01
050014801001021,01
050014801001022,01
050014801001023,01
050014801001024,01
050014801001025,01
050014801001026,01
050014801001027,01
050014801001028,01
050014801001029,01
050014801001030,01
050014801001031,01
050014801001032,01
050014801001033,01
050014801001034,01
050014801001035,01
050014801001036,01
050014801001037,01
050014801001038,01
050014801001039,01
050014801001040,01
050014801001041,01
050014801001042,01
050014801001043,01
050014801001044,01
050014801001045,01
050014801001046,01
050014801001047,01
050014801001048,01
050014801001049,01
050014801001050,01
050014801001051,01
050014801001052,01
050014801001053,01
050014801001054,01
050014801001055,01
050014801001056,01
050014801001057,01
050014801001058,01
050014801001059,01
050014801001060,01
050014801001061,01
050014801001062,01
050014801001063,01
050014801001064,01
050014801001065,01
050014801001066,01
050014801001067,01
050014801001068,01
050014801001069,01
050014801001070,01
050014801001071,01
050014801001072,01
050014801001073,01
050014801001074,01
050014801001075,01
050014801001076,01
050014801001077,01
050014801001078,01
050014801001079,01
050014801001080,01
050014801001081,01
050014801001082,01
050014801001083,01
050014801001084,01
050014801001085,01
050014801001086,01
050014801001087,01
050014801001088,01
050014801001089,01
050014801001090,01
050014801001091,01
050014801001092,01
050014801001093,01
050014801001094,01
050014801001095,01
050014801001096,01
050014801001097,01
050014801001098,01
050014801001099,01
050014801001100,01
050014801001101,01
050014801001102,01
050014801001103,01
050014801001104,01
050014801001105,01
050014801001106,01
050014801001107,01
050014801001108,01
050014801001109,01
050014801001110,01
050014801001111,01
050014801001112,01
050014801001113,01
050014801001114,01
050014801001115,01
050014801001116,01
050014801001117,01
050014801001118,01
050014801001119,01
050014801001120,01
050014801001121,01
050014801001122,01
050014801001123,01
050014801001124,01
050014801001125,01
050014801001126,01
050014801001127,01
050014801001128,01
050014801001129,01
050014801001130,01
050014801001131,01
050014801001132,01
050014801001133,01
050014801001134,01
050014801001135,01
050014801001136,01
050014801001137,01
050014801001138,01
050014801002000,01
050014801002001,01
050014801002002,01
050014801002003,01
050014801002004,01
050014801002005,01
050014801002006,01
050014801002007,01
050014801002008,01
050014801002009,01
050014801002010,01
050014801002011,01
050014801002012,01
050014801002013,01
050014801002014,01
050014801002015,01
050014801002016,01
050014801002017,01
050014801002018,01
050014801002019,01
050014801002020,01
050014801002021,01
050014801002022,01
050014801002023,01
050014801002024,01
050014801002025,01
050014801002026,01
050014801002027,01
050014801002028,01
050014801002029,01
050014801002030,01
050014801002031,01
050014801002032,01
050014801002033,01
