BLOCKID,CD113
210019701001000,01
210019701001001,01
210019701001002,01
210019701001003,01
210019701001004,01
210019701001005,01
210019701001006,01
210019701001007,01
210019701001008,01
210019701001009,01
210019701001010,01
210019701001011,01
210019701001012,01
210019701001013,01
210019701001014,01
210019701001015,01
210019701001016,01
210019701001017,01
210019701001018,01
210019701001019,01
210019701001020,01
210019701001021,01
210019701001022,01
210019701001023,01
210019701001024,01
210019701001025,01
210019701001026,01
210019701001027,01
210019701001028,01
210019701001029,01
210019701001030,01
210019701001031,01
210019701001032,01
210019701001033,01
210019701001034,01
210019701001035,01
210019701001036,01
210019701001037,01
210019701001038,01
210019701001039,01
210019701001040,01
210019701001041,01
210019701001042,01
210019701001043,01
210019701001044,01
210019701001045,01
210019701001046,01
210019701001047,01
210019701001048,01
210019701001049,01
210019701001050,01
210019701001051,01
210019701001052,01
210019701001053,01
210019701001054,01
210019701001055,01
210019701001056,01
210019701001057,01
210019701001058,01
210019701001059,01
210019701001060,01
210019701002000,01
210019701002001,01
210019701002002,01
210019701002003,01
210019701002004,01
210019701002005,01
210019701002006,01
210019701002007,01
210019701002008,01
210019701002009,01
210019701002010,01
210019701002011,01
210019701002012,01
210019701002013,01
210019701002014,01
210019701002015,01
210019701002016,01
210019701002017,01
210019701002018,01
210019701002019,01
210019701002020,01
210019701002021,01
210019701002022,01
210019701002023,01
210019701002024,01
210019701002025,01
210019701002026,01
210019701002027,01
210019701002028,01
210019701002029,01
210019701002030,01
210019701002031,01
210019701002032,01
210019701002033,01
210019701002034,01
210019701002035,01
210019701002036,01
210019701002037,01
210019701002038,01
210019701002039,01
210019701002040,01
210019701002041,01
210019701002042,01
210019701002043,01
210019701002044,01
210019701002045,01
210019701002046,01
210019701002047,01
210019701002048,01
210019701002049,01
210019701002050,01
210019701002051,01
210019701002052,01
210019701002053,01
210019701002054,01
210019701002055,01
210019701002056,01
210019701002057,01
210019701002058,01
210019701002059,01
210019701002060,01
210019701002061,01
210019701002062,01
210019701002063,01
210019701002064,01
210019701002065,01
210019701002066,01
210019701002067,01
210019701002068,01
210019701002069,01
210019701002070,01
210019701002071,01
210019701002072,01
210019701002073,01
210019701002074,01
210019701002075,01
210019701002076,01
210019701002077,01
210019701002078,01
210019701002079,01
210019701002080,01
210019701002081,01
210019701002082,01
210019701002083,01
210019701002084,01
210019701002085,01
210019701002086,01
210019701002087,01
210019701002088,01
210019701002089,01
210019702001000,01
210019702001001,01
210019702001002,01
210019702001003,01
210019702001004,01
210019702001005,01
210019702001006,01
210019702001007,01
210019702001008,01
210019702001009,01
210019702001010,01
210019702001011,01
210019702001012,01
210019702001013,01
210019702001014,01
210019702001015,01
210019702001016,01
210019702001017,01
210019702001018,01
210019702001019,01
210019702001020,01
210019702001021,01
210019702001022,01
210019702001023,01
210019702001024,01
210019702001025,01
210019702001026,01
210019702001027,01
210019702001028,01
210019702001029,01
210019702001030,01
210019702001031,01
210019702001032,01
210019702001033,01
210019702001034,01
210019702001035,01
210019702001036,01
210019702001037,01
210019702001038,01
210019702001039,01
210019702001040,01
210019702001041,01
210019702001042,01
210019702001043,01
210019702001044,01
210019702001045,01
210019702001046,01
210019702001047,01
210019702001048,01
210019702001049,01
210019702001050,01
210019702001051,01
210019702001052,01
210019702001053,01
210019702001054,01
210019702001055,01
210019702001056,01
210019702001057,01
210019702001058,01
210019702001059,01
210019702001060,01
210019702001061,01
210019702001062,01
210019702001063,01
210019702001064,01
210019702001065,01
210019702001066,01
210019702001067,01
210019702001068,01
210019702001069,01
210019702001070,01
210019702001071,01
210019702001072,01
210019702001073,01
210019702001074,01
210019702001075,01
210019702001076,01
210019702001077,01
210019702001078,01
210019702001079,01
210019702001080,01
210019702001081,01
210019702001082,01
210019702001083,01
210019702001084,01
210019702001085,01
210019702001086,01
210019702001087,01
210019702001088,01
210019702001089,01
210019702001090,01
210019702001091,01
210019702001092,01
210019702001093,01
210019702001094,01
210019702001095,01
210019702001096,01
210019702001097,01
210019702001098,01
210019702001099,01
210019702001100,01
210019702001101,01
210019702001102,01
210019702001103,01
210019703001000,01
210019703001001,01
210019703001002,01
210019703001003,01
210019703001004,01
210019703001005,01
210019703001006,01
210019703001007,01
210019703001008,01
210019703001009,01
210019703001010,01
210019703001011,01
210019703001012,01
210019703001013,01
210019703001014,01
210019703001015,01
210019703001016,01
210019703001017,01
210019703001018,01
210019703001019,01
210019703001020,01
210019703001021,01
210019703001022,01
210019703001023,01
210019703001024,01
210019703001025,01
210019703001026,01
210019703001027,01
210019703001028,01
210019703001029,01
210019703001030,01
210019703001031,01
210019703001032,01
210019703001033,01
210019703002000,01
210019703002001,01
210019703002002,01
210019703002003,01
210019703002004,01
210019703002005,01
210019703002006,01
210019703002007,01
210019703002008,01
210019703002009,01
210019703002010,01
210019703002011,01
210019703002012,01
210019703002013,01
210019703002014,01
210019703002015,01
210019703002016,01
210019703002017,01
210019703002018,01
210019703002019,01
210019703002020,01
210019703002021,01
210019703002022,01
210019703002023,01
210019703002024,01
210019703002025,01
210019703002026,01
210019703002027,01
210019703002028,01
210019703002029,01
210019703002030,01
210019703002031,01
210019703002032,01
210019703002033,01
210019703002034,01
210019703002035,01
210019703002036,01
210019703003000,01
210019703003001,01
210019703003002,01
210019703003003,01
210019703003004,01
210019703003005,01
210019703003006,01
210019703003007,01
210019703003008,01
210019703003009,01
210019703003010,01
210019703003011,01
210019703003012,01
210019703003013,01
210019703003014,01
210019703003015,01
210019703003016,01
210019703003017,01
210019703003018,01
210019703003019,01
210019703003020,01
210019703003021,01
210019703003022,01
210019703003023,01
210019703003024,01
210019703003025,01
210019703003026,01
210019703003027,01
210019703003028,01
210019703003029,01
210019703003030,01
210019703003031,01
210019703003032,01
210019703003033,01
210019703003034,01
210019703003035,01
210019703003036,01
210019703003037,01
210019703003038,01
210019703003039,01
210019703003040,01
210019703003041,01
210019703003042,01
210019703003043,01
210019703003044,01
210019703003045,01
210019703003046,01
210019703003047,01
210019703003048,01
210019703003049,01
210019703003050,01
