BLOCKID,CD113
320019501001000,02
320019501001001,02
320019501001002,02
320019501001003,02
320019501001004,02
320019501001005,02
320019501001006,02
320019501001007,02
320019501001008,02
320019501001009,02
320019501001010,02
320019501001011,02
320019501001012,02
320019501001013,02
320019501001014,02
320019501001015,02
320019501001016,02
320019501001017,02
320019501001018,02
320019501001019,02
320019501001020,02
320019501001021,02
320019501001022,02
320019501001023,02
320019501001024,02
320019501001025,02
320019501001026,02
320019501001027,02
320019501001028,02
320019501001029,02
320019501001030,02
320019501001031,02
320019501001032,02
320019501001033,02
320019501001034,02
320019501001035,02
320019501001036,02
320019501001037,02
320019501001038,02
320019501001039,02
320019501001040,02
320019501001041,02
320019501001042,02
320019501001043,02
320019501001044,02
320019501001045,02
320019501001046,02
320019501001047,02
320019501001048,02
320019501001049,02
320019501001050,02
320019501001051,02
320019501001052,02
320019501001053,02
320019501001054,02
320019501001055,02
320019501001056,02
320019501001057,02
320019501001058,02
320019501001059,02
320019501001060,02
320019501001061,02
320019501001062,02
320019501001063,02
320019501001064,02
320019501001065,02
320019501001066,02
320019501001067,02
320019501001068,02
320019501001069,02
320019501001070,02
320019501001071,02
320019501001072,02
320019501001073,02
320019501001074,02
320019501001075,02
320019501001076,02
320019501001077,02
320019501001078,02
320019501001079,02
320019501001080,02
320019501001081,02
320019501001082,02
320019501001083,02
320019501001084,02
320019501001085,02
320019501001086,02
320019501001087,02
320019501001088,02
320019501001089,02
320019501001090,02
320019501001091,02
320019501001092,02
320019501001093,02
320019501001094,02
320019501001095,02
320019501001096,02
320019501001097,02
320019501001098,02
320019501001099,02
320019501001100,02
320019501001101,02
320019501001102,02
320019501001103,02
320019501001104,02
320019501001105,02
320019501001106,02
320019501001107,02
320019501001108,02
320019501001109,02
320019501001110,02
320019501001111,02
320019501001112,02
320019501001113,02
320019501001114,02
320019501001115,02
320019501001116,02
320019501001117,02
320019501001118,02
320019501001119,02
320019501001120,02
320019501001121,02
320019501001122,02
320019501001123,02
320019501001124,02
320019501001125,02
320019501001126,02
320019501001127,02
320019501001128,02
320019501001129,02
320019501001130,02
320019501001131,02
