BLOCKID,CD113
330019651001000,02
330019651001001,02
330019651001002,02
330019651001003,02
330019651001004,02
330019651001005,02
330019651001006,02
330019651001007,02
330019651001008,02
330019651001009,02
330019651001010,02
330019651001011,02
330019651001012,02
330019651001013,02
330019651001014,02
330019651001015,02
330019651001016,02
330019651001017,02
330019651001018,02
330019651001019,02
330019651001020,02
330019651001021,02
330019651001022,02
330019651001023,02
330019651001024,02
330019651001025,02
330019651001026,02
330019651001027,02
330019651001028,02
330019651001029,02
330019651001030,02
330019651001031,02
330019651001032,02
330019651001033,02
330019651001034,02
330019651001035,02
330019651001036,02
330019651001037,02
330019651001038,02
330019651001039,02
330019651001040,02
330019651001041,02
330019651001042,02
330019651001043,02
330019651001044,02
330019651001045,02
330019651001046,02
330019651001047,02
330019651001048,02
330019651001049,02
330019651001050,02
330019651001051,02
330019651001052,02
330019651001053,02
330019651001054,02
330019651001055,02
330019651001056,02
330019651001057,02
330019651001058,02
330019651001059,02
330019651001060,02
330019651001061,02
330019651001062,02
330019651001063,02
330019651001064,02
330019651001065,02
330019651001066,02
330019651001067,02
330019651001068,02
330019651001069,02
330019651001070,02
330019651001071,02
330019651001072,02
330019651001073,02
330019651001074,02
330019651001075,02
330019651001076,02
330019651001077,02
330019651001078,02
330019651001079,02
330019651001080,02
330019651001081,02
330019651001082,02
330019651001083,02
330019651001084,02
330019651001085,02
330019651001086,02
330019651001087,02
330019651001088,02
330019651001089,02
330019651001090,02
330019651001091,02
330019651001092,02
330019651001093,02
330019651001094,02
330019651002000,01
330019651002001,01
330019651002002,01
330019651002003,01
330019651002004,01
330019651002005,01
330019651002006,01
330019651002007,01
330019651002008,01
330019651002009,01
330019651002010,01
330019651002011,01
330019651002012,01
330019651002013,01
330019651002014,01
330019651002015,01
330019651002016,01
330019651002017,01
330019651002018,01
330019651002019,01
330019651002020,01
330019651002021,01
330019651002022,01
330019651002023,01
330019651002024,01
330019651002025,01
330019651002026,01
330019651002027,01
330019651002028,01
330019651002029,01
330019651002030,01
330019651002031,01
330019651002032,01
330019651002033,01
330019651002034,01
330019651002035,01
330019651002036,01
330019651002037,01
330019651002038,01
330019651002039,01
330019651002040,01
330019651002041,01
330019651002042,01
330019651002043,01
330019651002044,01
330019651002045,01
330019651002046,01
330019651002047,01
330019651002048,01
330019651002049,01
330019651002050,01
330019651002051,01
330019651002052,01
330019651002053,01
330019651002054,01
330019651002055,01
330019651002056,01
330019651002057,01
330019651002058,01
330019651002059,01
330019651002060,01
330019651002061,01
330019651002062,01
330019651002063,01
330019651002064,01
330019651002065,01
330019651002066,01
330019651002067,01
