BLOCKID,CD113
350010001071000,01
350010001071001,01
350010001071002,01
350010001071003,01
350010001071004,01
350010001071005,01
350010001071006,01
350010001071007,01
350010001071008,01
350010001071009,01
350010001071010,01
350010001071011,01
350010001071012,01
350010001071013,01
350010001071014,01
350010001071015,01
350010001071016,01
350010001071017,01
350010001072000,01
350010001072001,01
350010001072002,01
350010001072003,01
350010001072004,01
350010001072005,01
350010001072006,01
350010001072007,01
350010001072008,01
350010001072009,01
350010001072010,01
350010001072011,01
350010001072012,01
350010001072013,01
350010001072014,01
350010001072015,01
350010001072016,01
350010001072017,01
350010001072018,01
350010001081000,01
350010001081001,01
350010001081002,01
350010001081003,01
350010001081004,01
350010001081005,01
350010001081006,01
350010001081007,01
350010001081008,01
350010001081009,01
350010001081010,01
350010001081011,01
350010001081012,01
350010001082000,01
350010001082001,01
350010001082002,01
350010001082003,01
350010001082004,01
350010001082005,01
350010001082006,01
350010001082007,01
350010001082008,01
350010001082009,01
350010001082010,01
350010001082011,01
350010001091000,01
350010001091001,01
350010001091002,01
350010001091003,01
350010001091004,01
350010001091005,01
350010001091006,01
350010001091007,01
350010001091008,01
350010001091009,01
350010001091010,01
350010001091011,01
350010001091012,01
350010001091013,01
350010001091014,01
350010001091015,01
350010001092000,01
350010001092001,01
350010001092002,01
350010001092003,01
350010001092004,01
350010001092005,01
350010001092006,01
350010001092007,01
350010001092008,01
350010001092009,01
350010001092010,01
350010001092011,01
350010001092012,01
350010001092013,01
350010001092014,01
350010001092015,01
350010001092016,01
350010001092017,01
350010001101000,01
350010001101001,01
350010001101002,01
350010001101003,01
350010001101004,01
350010001101005,01
350010001101006,01
350010001101007,01
350010001102000,01
350010001102001,01
350010001102002,01
350010001102003,01
350010001102004,01
350010001102005,01
350010001102006,01
350010001102007,01
350010001102008,01
350010001102009,01
350010001102010,01
350010001102011,01
350010001102012,01
350010001102013,01
350010001102014,01
350010001102015,01
350010001102016,01
350010001103000,01
350010001103001,01
350010001103002,01
350010001103003,01
350010001103004,01
350010001103005,01
350010001103006,01
350010001103007,01
350010001111000,01
350010001111001,01
350010001111002,01
350010001111003,01
350010001111004,01
350010001111005,01
350010001111006,01
350010001111007,01
350010001111008,01
350010001111009,01
350010001111010,01
350010001111011,01
350010001111012,01
350010001111013,01
350010001111014,01
350010001111015,01
350010001111016,01
350010001111017,01
350010001111018,01
350010001111019,01
350010001111020,01
350010001111021,01
350010001111022,01
350010001112000,01
350010001112001,01
350010001112002,01
350010001112003,01
350010001112004,01
350010001112005,01
350010001112006,01
350010001112007,01
350010001112008,01
350010001112009,01
350010001112010,01
350010001112011,01
350010001112012,01
350010001112013,01
350010001121000,01
350010001121001,01
350010001121002,01
350010001121003,01
350010001121004,01
350010001121005,01
350010001121006,01
350010001121007,01
350010001121008,01
350010001121009,01
350010001121010,01
350010001122000,01
350010001122001,01
350010001122002,01
350010001122003,01
350010001122004,01
350010001122005,01
350010001122006,01
350010001122007,01
350010001122008,01
350010001122009,01
350010001122010,01
350010001122011,01
350010001122012,01
350010001122013,01
350010001122014,01
350010001122015,01
350010001122016,01
350010001122017,01
350010001131000,01
350010001131001,01
350010001131002,01
350010001131003,01
350010001131004,01
350010001131005,01
350010001131006,01
350010001131007,01
350010001131008,01
350010001131009,01
350010001131010,01
350010001131011,01
350010001131012,01
350010001131013,01
350010001131014,01
350010001131015,01
350010001131016,01
350010001131017,01
350010001131018,01
350010001131019,01
350010001131020,01
350010001131021,01
350010001131022,01
350010001131023,01
350010001131024,01
350010001131025,01
350010001131026,01
350010001131027,01
350010001132000,01
350010001132001,01
350010001132002,01
350010001132003,01
350010001132004,01
350010001132005,01
350010001132006,01
350010001132007,01
350010001132008,01
350010001132009,01
350010001132010,01
350010001132011,01
350010001132012,01
350010001132013,01
350010001132014,01
350010001132015,01
350010001132016,01
350010001132017,01
350010001132018,01
350010001132019,01
350010001132020,01
350010001132021,01
350010001132022,01
350010001141000,01
350010001141001,01
350010001141002,01
350010001141003,01
350010001141004,01
350010001141005,01
350010001141006,01
350010001141007,01
350010001141008,01
350010001141009,01
350010001141010,01
350010001141011,01
350010001141012,01
350010001141013,01
350010001141014,01
350010001141015,01
350010001141016,01
350010001141017,01
350010001141018,01
350010001141019,01
350010001141020,01
350010001141021,01
350010001142000,01
350010001142001,01
350010001142002,01
350010001142003,01
350010001142004,01
350010001142005,01
350010001142006,01
350010001142007,01
350010001142008,01
350010001142009,01
350010001142010,01
350010001142011,01
350010001142012,01
350010001142013,01
350010001142014,01
350010001142015,01
350010001142016,01
350010001142017,01
350010001142018,01
350010001142019,01
350010001142020,01
350010001142021,01
350010001142022,01
350010001151000,01
350010001151001,01
350010001151002,01
350010001151003,01
350010001151004,01
350010001151005,01
350010001151006,01
350010001151007,01
350010001152000,01
350010001152001,01
350010001152002,01
350010001152003,01
350010001152004,01
350010001152005,01
350010001152006,01
350010001152007,01
350010001152008,01
350010001152009,01
350010001152010,01
350010001152011,01
350010001152012,01
350010001152013,01
350010001152014,01
350010001152015,01
350010001153000,01
350010001153001,01
350010001153002,01
350010001153003,01
350010001153004,01
350010001153005,01
350010001153006,01
350010001153007,01
350010001153008,01
350010001153009,01
350010001153010,01
350010001153011,01
350010001153012,01
350010001153013,01
350010001153014,01
350010001153015,01
350010001153016,01
350010001153017,01
350010001153018,01
350010001153019,01
350010001153020,01
350010001153021,01
350010001153022,01
350010001153023,01
350010001153024,01
350010001153025,01
350010001153026,01
350010001153027,01
350010001161000,01
350010001161001,01
350010001161002,01
350010001161003,01
350010001161004,01
350010001161005,01
350010001161006,01
350010001161007,01
350010001161008,01
350010001161009,01
350010001161010,01
350010001161011,01
350010001161012,01
350010001161013,01
350010001161014,01
350010001161015,01
350010001161016,01
350010001161017,01
350010001161018,01
350010001161019,01
350010001161020,01
350010001162000,01
350010001162001,01
350010001162002,01
350010001162003,01
350010001162004,01
350010001162005,01
350010001162006,01
350010001162007,01
350010001162008,01
350010001162009,01
350010001162010,01
350010001162011,01
350010001162012,01
350010001162013,01
350010001162014,01
350010001162015,01
350010001162016,01
350010001171000,01
350010001171001,01
350010001171002,01
350010001171003,01
350010001171004,01
350010001171005,01
350010001171006,01
350010001171007,01
350010001171008,01
350010001171009,01
350010001171010,01
350010001171011,01
350010001171012,01
350010001171013,01
350010001171014,01
350010001171015,01
350010001171016,01
350010001171017,01
350010001171018,01
350010001171019,01
350010001171020,01
350010001171021,01
350010001172000,01
350010001172001,01
350010001172002,01
350010001172003,01
350010001172004,01
350010001172005,01
350010001172006,01
350010001172007,01
350010001172008,01
350010001172009,01
350010001172010,01
350010001172011,01
350010001172012,01
350010001172013,01
350010001172014,01
350010001172015,01
350010001172016,01
350010001172017,01
350010001172018,01
350010001172019,01
350010001172020,01
350010001172021,01
350010001172022,01
350010001172023,01
350010001172024,01
350010001172025,01
350010001172026,01
350010001172027,01
350010001172028,01
350010001172029,01
350010001181000,01
350010001181001,01
350010001181002,01
350010001181003,01
350010001181004,01
350010001181005,01
350010001181006,01
350010001181007,01
350010001181008,01
350010001181009,01
350010001181010,01
350010001181011,01
350010001181012,01
350010001182000,01
350010001182001,01
350010001182002,01
350010001182003,01
350010001182004,01
350010001182005,01
350010001182006,01
