BLOCKID,CD113
410019501001000,02
410019501001001,02
410019501001002,02
410019501001003,02
410019501001004,02
410019501001005,02
410019501001006,02
410019501001007,02
410019501001008,02
410019501001009,02
410019501001010,02
410019501001011,02
410019501001012,02
410019501001013,02
410019501001014,02
410019501001015,02
410019501001016,02
410019501001017,02
410019501001018,02
410019501001019,02
410019501001020,02
410019501001021,02
410019501001022,02
410019501001023,02
410019501001024,02
410019501001025,02
410019501001026,02
410019501001027,02
410019501001028,02
410019501001029,02
410019501001030,02
410019501001031,02
410019501001032,02
410019501001033,02
410019501001034,02
410019501001035,02
410019501001036,02
410019501001037,02
410019501001038,02
410019501001039,02
410019501001040,02
410019501001041,02
410019501001042,02
410019501001043,02
410019501001044,02
410019501001045,02
410019501001046,02
410019501001047,02
410019501001048,02
410019501001049,02
410019501001050,02
410019501001051,02
410019501001052,02
410019501001053,02
410019501001054,02
410019501001055,02
410019501001056,02
410019501001057,02
410019501001058,02
410019501001059,02
410019501001060,02
410019501001061,02
410019501001062,02
410019501001063,02
410019501001064,02
410019501001065,02
410019501001066,02
410019501001067,02
410019501001068,02
410019501001069,02
410019501001070,02
410019501001071,02
410019501001072,02
410019501001073,02
410019501001074,02
410019501001075,02
410019501001076,02
410019501001077,02
410019501001078,02
410019501001079,02
410019501001080,02
410019501001081,02
410019501001082,02
410019501001083,02
410019501001084,02
410019501001085,02
410019501001086,02
410019501001087,02
410019501001088,02
410019501001089,02
410019501001090,02
410019501001091,02
410019501001092,02
410019501001093,02
410019501001094,02
410019501001095,02
410019501001096,02
410019501001097,02
410019501001098,02
410019501001099,02
410019501001100,02
410019501001101,02
410019501001102,02
410019501001103,02
410019501001104,02
410019501001105,02
410019501001106,02
410019501001107,02
410019501001108,02
410019501001109,02
410019501001110,02
410019501001111,02
410019501001112,02
410019501001113,02
410019501001114,02
410019501001115,02
410019501001116,02
410019501001117,02
410019501001118,02
410019501001119,02
410019501001120,02
410019501001121,02
410019501001122,02
410019501001123,02
410019501001124,02
410019501001125,02
410019501001126,02
410019501001127,02
410019501001128,02
410019501001129,02
410019501001130,02
410019501001131,02
410019501001132,02
410019501001133,02
410019501001134,02
410019501001135,02
410019501001136,02
410019501001137,02
410019501001138,02
410019501001139,02
410019501001140,02
410019501001141,02
410019501001142,02
410019501001143,02
410019501001144,02
410019501001145,02
410019501001146,02
410019501001147,02
410019501001148,02
410019501001149,02
410019501001150,02
410019501001151,02
410019501001152,02
410019501001153,02
410019501001154,02
410019501001155,02
410019501001156,02
410019501001157,02
410019501001158,02
410019501001159,02
410019501001160,02
410019501001161,02
410019501001162,02
410019501001163,02
410019501001164,02
410019501001165,02
410019501001166,02
410019501001167,02
410019501001168,02
410019501001169,02
410019501001170,02
410019501001171,02
410019501001172,02
410019501001173,02
410019501001174,02
410019501001175,02
410019501001176,02
410019501001177,02
410019501001178,02
410019501001179,02
410019501001180,02
410019501001181,02
410019501001182,02
410019501001183,02
410019501001184,02
410019501001185,02
410019501001186,02
410019501001187,02
410019501001188,02
410019501001189,02
410019501001190,02
410019501001191,02
410019501001192,02
410019501001193,02
410019501001194,02
410019501001195,02
410019501001196,02
410019501001197,02
410019501001198,02
410019501001199,02
410019501001200,02
410019501001201,02
410019501001202,02
410019501001203,02
410019501001204,02
410019501001205,02
410019501001206,02
410019501001207,02
410019501001208,02
410019501001209,02
410019501001210,02
410019501001211,02
410019501001212,02
410019501001213,02
410019501001214,02
410019501001215,02
410019501001216,02
410019501001217,02
410019501001218,02
410019501001219,02
410019501001220,02
410019501001221,02
410019501001222,02
410019501001223,02
410019501001224,02
410019501001225,02
410019501001226,02
410019501001227,02
410019501001228,02
410019501001229,02
