BLOCKID,CD113
500019601001000,00
500019601001001,00
500019601001002,00
500019601001003,00
500019601001004,00
500019601001005,00
500019601001006,00
500019601001007,00
500019601001008,00
500019601001009,00
500019601001010,00
500019601001011,00
500019601001012,00
500019601001013,00
500019601001014,00
500019601001015,00
500019601001016,00
500019601001017,00
500019601001018,00
500019601001019,00
500019601001020,00
500019601001021,00
500019601001022,00
500019601001023,00
500019601001024,00
500019601001025,00
500019601001026,00
500019601001027,00
500019601001028,00
500019601001029,00
500019601001030,00
500019601001031,00
500019601001032,00
500019601001033,00
500019601001034,00
500019601001035,00
500019601001036,00
500019601001037,00
500019601001038,00
500019601001039,00
500019601001040,00
500019601001041,00
500019601001042,00
500019601001043,00
500019601001044,00
500019601001045,00
500019601001046,00
500019601001047,00
500019601001048,00
500019601001049,00
500019601001050,00
500019601001051,00
500019601001052,00
500019601002000,00
500019601002001,00
500019601002002,00
500019601002003,00
500019601002004,00
500019601002005,00
500019601002006,00
500019601002007,00
500019601002008,00
500019601002009,00
500019601002010,00
500019601002011,00
500019601002012,00
500019601002013,00
500019601002014,00
500019601002015,00
500019601002016,00
500019601002017,00
500019601002018,00
500019601002019,00
500019601002020,00
500019601002021,00
500019601002022,00
500019601002023,00
500019601002024,00
500019601002025,00
500019601002026,00
500019601002027,00
500019601002028,00
500019601002029,00
500019601002030,00
500019601002031,00
500019601002032,00
500019601002033,00
500019601002034,00
500019601002035,00
500019601002036,00
500019601003000,00
500019601003001,00
500019601003002,00
500019601003003,00
500019601003004,00
500019601003005,00
500019601003006,00
500019601003007,00
500019601003008,00
500019601003009,00
500019601003010,00
500019601003011,00
500019601003012,00
500019601003013,00
500019601003014,00
500019601003015,00
500019601003016,00
500019601003017,00
500019601003018,00
500019601003019,00
500019601003020,00
500019601003021,00
500019601003022,00
500019601003023,00
500019601003024,00
500019601003025,00
500019601003026,00
500019601003027,00
500019601003028,00
500019601003029,00
500019601003030,00
500019601003031,00
500019601003032,00
500019601003033,00
500019601003034,00
500019601003035,00
500019601003036,00
500019601003037,00
500019601003038,00
500019601003039,00
500019601003040,00
500019601003041,00
500019601003042,00
500019601003043,00
500019601003044,00
500019601003045,00
500019601003046,00
500019601003047,00
500019601003048,00
500019601003049,00
500019601003050,00
500019601003051,00
500019601003052,00
500019601003053,00
500019601003054,00
500019601003055,00
500019601003056,00
500019601003057,00
500019601003058,00
500019601003059,00
500019601003060,00
500019601003061,00
500019601003062,00
500019601003063,00
500019601003064,00
500019601003065,00
500019601003066,00
500019601003067,00
500019601003068,00
500019601003069,00
500019601003070,00
500019601003071,00
500019601003072,00
500019601003073,00
500019601003074,00
500019601003075,00
500019601003076,00
500019601003077,00
500019601003078,00
500019601003079,00
500019601003080,00
500019601003081,00
500019601003082,00
500019601003083,00
500019601003084,00
500019601003085,00
500019601003086,00
500019601003087,00
500019601003088,00
500019601003089,00
500019602001000,00
500019602001001,00
500019602001002,00
500019602001003,00
500019602001004,00
500019602001005,00
500019602001006,00
500019602001007,00
500019602001008,00
500019602001009,00
500019602001010,00
500019602001011,00
500019602001012,00
500019602001013,00
500019602001014,00
500019602001015,00
500019602001016,00
500019602001017,00
500019602001018,00
500019602001019,00
500019602001020,00
500019602001021,00
500019602001022,00
500019602001023,00
500019602001024,00
500019602001025,00
500019602001026,00
500019602001027,00
500019602001028,00
500019602001029,00
500019602001030,00
500019602001031,00
500019602001032,00
500019602001033,00
500019602001034,00
500019602001035,00
500019602001036,00
500019602001037,00
500019602001038,00
500019602001039,00
500019602001040,00
500019602001041,00
500019602001042,00
500019602001043,00
500019602001044,00
500019602001045,00
500019602001046,00
500019602001047,00
500019602001048,00
500019602001049,00
500019602001050,00
500019602001051,00
500019602001052,00
500019602001053,00
500019602001054,00
500019602001055,00
500019602001056,00
500019602001057,00
500019602001058,00
500019602001059,00
500019602001060,00
500019602001061,00
500019602001062,00
500019602001063,00
500019602001064,00
500019602001065,00
500019602001066,00
500019602001067,00
500019602001068,00
500019602001069,00
500019602001070,00
500019602002000,00
500019602002001,00
500019602002002,00
500019602002003,00
500019602002004,00
500019602002005,00
500019602002006,00
500019602002007,00
500019602002008,00
500019602002009,00
500019602002010,00
500019602002011,00
500019602002012,00
500019602002013,00
500019602002014,00
500019602002015,00
500019602002016,00
500019602002017,00
500019602002018,00
500019602002019,00
500019602002020,00
500019602002021,00
500019602002022,00
500019602002023,00
500019602002024,00
500019602002025,00
500019602002026,00
500019602002027,00
500019602002028,00
500019602002029,00
500019602002030,00
500019602002031,00
500019602002032,00
500019602002033,00
500019602002034,00
500019602002035,00
500019602002036,00
500019602002037,00
500019602002038,00
500019602002039,00
500019602002040,00
500019602002041,00
500019602002042,00
500019602002043,00
500019602002044,00
500019602002045,00
500019602002046,00
500019602002047,00
500019602002048,00
500019602002049,00
500019602002050,00
