geoid,dperim,dpperim,darea,dparea
0641,381,29543,7613,702904
0634,411,33485,5196,702904
0650,747,61960,13137,702905
0647,543,50917,8136,702905
0638,572,51450,8436,702905
0616,556,14040,15675,702904
0639,608,52240,8256,702905
0602,643,7092,32905,702905
0601,1074,7747,56901,702905
0623,1267,23606,33001,702904
0625,584,24470,13693,702904
0644,542,45381,7758,702904
0636,394,10497,17411,702905
0635,391,44037,5892,702905
0617,396,38229,8748,702904
0618,594,35261,11855,702906
0606,378,28276,10605,702905
0605,599,14984,14834,702905
0628,584,44839,7226,702904
0645,397,25851,8847,702906
0604,728,13453,27526,702906
0653,494,57406,7899,702904
0622,590,23286,13630,702905
0610,343,10043,12035,702905
0642,611,38358,9984,702906
0629,351,28319,4771,702905
0619,470,31140,7429,702904
0637,448,49987,6368,702904
0609,350,15402,13434,702904
0649,479,35670,9993,702906
0603,961,13945,24472,702906
0614,356,26302,8375,702905
0615,302,17594,10878,702904
0631,601,62636,8195,702905
0627,666,36912,8641,702905
0607,320,29479,8552,702904
0613,211,11851,11534,702906
0621,1065,26791,26314,702904
0640,531,59375,6122,702904
0632,552,41669,8379,702905
0608,962,25087,42762,702905
0646,403,32996,6492,702906
0620,372,13194,17195,702906
0624,510,5299,22548,702904
0633,701,52909,10339,702904
0643,471,46724,7574,702904
0648,437,32898,10295,702906
0611,403,15790,12279,702906
0630,407,47249,6443,702904
0652,439,32716,8717,702904
0612,172,18379,6140,702905
0626,349,15750,12942,702905
0651,630,32427,15763,702906
