,,,CONTIN RANK:,CONTIN RANK:,CONTIN RANK:,CONTIN RANK:,CONTIN SCORE:,CONTIN SCORE:,CONTIN SCORE:,CONTIN SCORE:,CONTIN PERIM:,CONTIN PERIM:,CONTIN PERIM:,CONTIN PERIM:,CONTIN AREA:,CONTIN AREA:,CONTIN AREA:,CONTIN AREA:,RANK LAND:,RANK LAND:,RANK LAND:,RANK LAND:,RANK WATER:,RANK WATER:,RANK WATER:,RANK WATER:,LAND,WATER,LAND,WATER,LAND,WATER,LAND,WATER
,geoid,state,rank_cont_pp_tiger,rank_cont_pp_500k,rank_cont_pp_5m,rank_cont_pp_20m,cont_pp_tiger,cont_pp_500k,cont_pp_5m,cont_pp_20m,cont_perim_tiger,cont_perim_500k,cont_perim_5m,cont_perim_20m,cont_area_tiger,cont_area_500k,cont_area_5m,cont_area_20m,rank_aland_tiger,rank_aland_500k,rank_aland_5m,rank_aland_20m,rank_awater_tiger,rank_awater_500k,rank_awater_5m,rank_awater_20m,aland_tiger,awater_tiger,aland_500k,awater_500k,aland_5m,awater_5m,aland_20m,awater_20m
0,101,AL,318,367,380,400,0.162096266,0.111037594,0.128234619,0.14488155,1180.555599,1350.203641,1256.541981,1181.739689,17977.77896,16108.63451,16111.99911,16100.77801,130,130,130,130,44,44,44,44,15713054160,2275852112,15713067336,2275841324,15713067336,2275841324,15713067336,2275841324
1,102,AL,224,204,228,247,0.223742993,0.229762296,0.256709515,0.293705139,1221.342309,1205.230628,1140.201609,1067.212752,26559.1629,26558.84709,26558.00212,26619.73284,65,65,65,65,189,189,189,189,26266695180,306899655,26266692761,306904060,26266692761,306904060,26266692761,306904060
2,103,AL,225,200,219,238,0.222525095,0.230733933,0.261890843,0.299677575,1062.781233,1043.702665,979.6261431,915.427115,20001.23834,20001.16024,20000.05468,19984.43739,99,99,99,99,135,135,135,135,19538863715,470645995,19538924185,470585409,19538924185,470585409,19538924185,470585409
3,104,AL,292,269,283,315,0.179185256,0.185834697,0.207653734,0.230689872,1285.850052,1262.776317,1194.792137,1132.315181,23576.15946,23581.41152,23589.27491,23537.12009,78,78,78,78,118,118,118,118,23022928375,569202510,23022943167,572802918,23022943167,572802918,23022943167,572802918
4,105,AL,153,126,165,218,0.275307469,0.288264634,0.302700627,0.316660836,675.0013564,659.5817929,643.711996,629.7313004,9981.996662,9979.73059,9981.289714,9992.980745,179,179,179,179,137,139,139,139,9524277750,464746305,9524263525,461158376,9524263525,461158376,9524263525,461158376
5,106,AL,350,327,335,342,0.13759146,0.140985742,0.165847121,0.205544842,1001.004353,988.9040771,911.524792,817.9775785,10971.18523,10971.69343,10965.66675,10944.08651,166,166,166,166,234,234,234,234,10802402204,177149895,10802402267,177149829,10802402267,177149829,10802402267,177149829
6,107,AL,359,339,343,348,0.131309218,0.134776739,0.157707037,0.195345588,1596.01666,1575.27669,1456.156408,1308.697167,26617.06657,26614.52821,26610.75884,26623.92422,64,64,64,64,181,181,181,181,26304372148,330254983,26304140854,330478285,26304140854,330478285,26304140854,330478285
7,200,AK,422,435,435,435,0.064704946,0.017925411,0.022253744,0.025007537,18344.90942,32746.23179,29398.81039,27727.77521,1732841.186,1529614.225,1530568.368,1529998.878,1,1,1,1,1,1,1,1,1.47847E+12,2.4487E+11,1.47785E+12,2.45488E+11,1.47785E+12,2.45488E+11,1.47785E+12,2.45488E+11
8,401,AZ,256,235,259,275,0.204126869,0.209038965,0.236183586,0.275487664,2965.267909,2930.210431,2756.792251,2552.182094,142829.5886,142828.5421,142839.37,142795.8571,11,11,11,11,176,176,176,176,1.42552E+11,354192558,1.42551E+11,354192557,1.42551E+11,354192557,1.42551E+11,354192557
9,402,AZ,16,17,24,35,0.490142119,0.491868629,0.516013886,0.561418896,723.7306286,722.4542826,705.1912162,676.3277391,20429.89174,20429.60641,20420.45023,20435.79617,94,94,94,94,252,251,251,251,20300636510,138377181,20300717170,138380211,20300717170,138380211,20300717170,138380211
10,403,AZ,182,159,204,229,0.260429785,0.261246476,0.272081299,0.305659926,1400.269535,1398.042511,1369.989084,1289.988339,40635.35598,40633.22861,40637.1312,40476.24427,42,42,42,42,391,391,391,391,40633785865,8052526,40633236765,8538033,40633236765,8538033,40633236765,8538033
11,404,AZ,379,354,368,369,0.121182848,0.124680423,0.142132497,0.176511993,2995.411374,2953.25499,2766.236295,2484.96101,86525.52432,86534.70058,86549.00385,86736.82336,23,23,23,23,129,129,129,129,85985850819,503981072,85985965927,503967663,85985965927,503967663,85985965927,503967663
12,405,AZ,11,11,11,10,0.519753856,0.52326361,0.562372993,0.707228834,135.7232878,135.275055,130.5194045,119.3584325,761.897589,761.9844482,762.368177,801.7820115,343,343,343,343,420,420,420,420,760127492,2295744,760233362,2298572,760233362,2298572,760233362,2298572
13,406,AZ,116,97,99,25,0.31699175,0.323219508,0.374345301,0.606596499,254.1053725,251.5895965,233.7871879,181.964896,1628.792608,1628.069943,1628.185702,1598.325625,299,299,299,299,387,387,387,387,1619240143,10576374,1618400173,10576376,1618400173,10576376,1618400173,10576376
14,407,AZ,49,34,35,8,0.419810825,0.424704517,0.478950487,0.709791198,126.1898858,125.4568026,118.1417171,97.03974652,531.9770094,531.9434255,531.9702095,531.8878289,371,371,371,371,427,427,427,427,531238883,1021257,531240937,1022497,531240937,1022497,531240937,1022497
15,408,AZ,260,242,258,169,0.201306078,0.204700643,0.236499857,0.361093807,295.7328533,293.3420748,272.9924988,221.830272,1401.025919,1401.709642,1402.56322,1414.007781,305,305,305,305,409,401,401,401,1397551063,4088398,1397072869,5340697,1397072869,5340697,1397072869,5340697
16,409,AZ,327,304,315,200,0.156166004,0.158864548,0.186715384,0.330095428,186.0078497,184.4100116,170.6187037,130.7435024,429.9710133,429.9184854,432.5372505,449.0243305,390,390,390,390,412,412,412,412,426702437,3529539,426717588,3529537,426717588,3529537,426717588,3529537
17,501,AR,361,342,372,373,0.129589768,0.133075882,0.138730444,0.174561579,2229.630618,2200.212536,2154.784322,1920.168156,51265.67601,51264.73986,51258.92892,51217.37592,38,38,38,38,70,70,70,70,50034996752,1235292625,50035029191,1235260735,50035029191,1235260735,50035029191,1235260735
18,502,AR,190,165,198,190,0.244590681,0.251120566,0.277389494,0.344177856,823.1755302,812.3988871,772.9238365,693.3216802,13189.0935,13188.97537,13187.22894,13165.6596,150,150,150,150,190,190,190,190,12893284444,304897216,12893726101,304455194,12893726101,304455194,12893726101,304455194
19,503,AR,347,328,357,371,0.140300529,0.140915193,0.149735074,0.175546932,1133.688996,1131.192296,1097.275118,1014.647131,14349.5178,14348.97349,14346.45957,14381.80653,141,141,141,141,172,172,172,172,13988684659,370113647,13988383261,370086654,13988383261,370086654,13988383261,370086654
20,504,AR,146,131,171,162,0.282429066,0.284905486,0.296723125,0.364646309,1618.375603,1611.358181,1579.058237,1424.169082,58865.13861,58867.43658,58875.93611,58855.23046,33,33,33,33,81,81,81,81,57855541212,1049014187,57855816048,1049012978,57855816048,1049012978,57855816048,1049012978
21,601,CA,139,117,130,152,0.292493093,0.297622157,0.337249766,0.382096795,1791.156378,1775.715274,1668.186598,1567.129624,74674.5748,74679.61273,74684.5982,74674.68015,25,25,25,25,53,53,53,53,72745072212,1948576678,72745100895,1948576669,72745100895,1948576669,72745100895,1948576669
22,602,CA,294,306,309,329,0.178742763,0.158595694,0.193026723,0.219069138,1626.765834,1637.624473,1484.261827,1393.923509,37641.65307,33846.21958,33839.86403,33872.6536,51,51,51,51,24,24,24,24,33546699649,4122288170,33546692148,4122288172,33546692148,4122288172,33546692148,4122288172
